id,site,job_url,job_url_direct,title,company,location,date_posted,job_type,salary_source,interval,min_amount,max_amount,currency,is_remote,job_level,job_function,listing_type,emails,description,company_industry,company_url,company_logo,company_url_direct,company_addresses,company_num_employees,company_revenue,company_description,skills,experience_range,company_rating,company_reviews_count,vacancy_count,work_from_home_type
in-196f4ba6b5204614,indeed,https://in.indeed.com/viewjob?jk=196f4ba6b5204614,https://jobs.mattel.com/en/job/hyderabad/senior-manager-tower-lead-for-india-infrastructure-and-operations/2015/91042341952,Senior Manager/Tower Lead for India-Infrastructure & Operations,"Mattel, Inc.","TS, IN",2026-01-26,,,,,,,False,,,,,"**CREATIVITY IS OUR SUPERPOWER.** It’s our heritage and it’s also our future. Because we don’t just make toys. We create innovative products and experiences that inspire fans, entertain audiences and develop children through play. Mattel is at its best when every member of our team feels respected, included, and heard—when everyone can show up as themselves and do their best work every day. We value and share an infinite range of ideas and voices that evolve and broaden our perspectives with a reach that extends into all our brands, partners, and suppliers.

**The Team:**

 **The Opportunity:**

**What Your Impact Will Be:**

**Key Responsibilities:**

**Leadership and Team Management:**

* Lead, mentor, and develop a team of infrastructure operations engineers and specialists.
* Foster a collaborative, high\-performing, and results\-oriented team culture.
* Set clear performance expectations, provide regular feedback, and conduct performance reviews.
* Manage team schedules, on\-call rotations, and ensure adequate staffing levels.
* Identify training and development needs within the team.

**Infrastructure Operations and Maintenance:**

* Oversee the day\-to\-day operations, maintenance, and monitoring of all IT infrastructure components (servers, storage, network, firewalls, load balancers, etc.).
* Ensure high availability, performance, and stability of critical systems and services.
* Implement and enforce ITIL best practices for incident, problem, change, and configuration management.
* Develop and maintain comprehensive documentation for infrastructure configurations, processes, and procedures.
* Manage and optimize backup, recovery, and disaster recovery processes.
* Collaborate with Design, Engineering, Capacity, Strategy, Security and Application teams

**Cloud Infrastructure Management:**

* Manage and optimize our cloud infrastructure (e.g., AWS, Azure, GCP) for performance, cost\-efficiency, and security.
* Implement and maintain cloud monitoring and alerting systems.
* Ensure compliance with cloud security policies and best practices.

**Security and Compliance:**

* Collaborate with the security team to implement and maintain security policies and procedures for the infrastructure.
* Ensure compliance with relevant industry regulations and standards (e.g., SOC 2, SOCr, NIST, RAP and PCI).
* Participate in security audits and implement remediation plans.

**Collaboration and Communication:**

* Collaborate effectively with other IT teams (e.g., development, security, support) and business stakeholders.
* Communicate clearly and concisely with technical and non\-technical audiences regarding infrastructure status, incidents, and projects.
* Participate in strategic planning and contribute to the development of IT roadmaps.

**Problem Solving and Incident Management:**

* Lead the resolution of complex infrastructure issues and outages.
* Conduct root cause analysis and implement preventative measures.
* Develop and maintain incident response plans.

**Continuous Improvement:**

* Identify opportunities for process improvement and automation within infrastructure operations.
* Implement solutions to enhance efficiency, reliability, and scalability.
* Stay current with emerging technologies and industry trends.

**Technical Expertise:**

* Strong technical expertise across a broad range of infrastructure technologies, including:
	+ Server operating systems (Windows Server, Linux)
	+ Networking (TCP/IP, DNS, DHCP, routing, switching, firewalls, VPN)
	+ Storage solutions (EMC, iSilon, SAN, NAS)
	+ Virtualization technologies (VMware, NSX)
	+ Cloud platforms (AWS, Azure, GCP) – deep understanding of at least one is required.
	+ Monitoring and alerting tools (e.g., SolarWinds, Nagios, SCOM, CloudWatch, Azure Monitor)
	+ Automation tools (e.g., Ansible, Chef, Puppet, scripting languages like Python, PowerShell)
	+ Collaboration tools (O365, Zoom, Teams)
	+ Database management (Oracle, OCI, MsSQL, MySQL)
* Proven ability to lead and motivate technical teams.
* Excellent problem\-solving and analytical skills.

 **What We’re Looking For:**

 **Experience:**

* Minimum 5 years of experience in a global 24/7 operations Leadership
* Experience in managing co\-location relationships with heavy emphasis on Outsourcing relationships
* Experience in Cloud technologies AWS and/ or GCP and/ or Azure
* Experience in managing RedHat Linux, Windows, VMWare, EMC \& NetApp Storage, Backups, and Cisco Networking devices
* Experience in analysis of complex infrastructure problems
* Strong interpersonal skills and the ability to effectively communicate with a wide range of stakeholders
* Ability to gather data, compile information, and prepare reports for Executive Management
* Ability to supervise and train employees, to include organizing, prioritizing, and scheduling work assignments.
* Ability to provide technical guidance and leadership to professional personnel in area of expertise.
* Ability to provide and drive data collection needs for various annual Corporate Audits: SOX, PCI, etc.
* Strong understanding of ITIL principles and best practices.
* Excellent communication (written and verbal) and interpersonal skills.
* Experience in managing vendor relationships and budgets.
* Knowledge of security best practices and compliance requirements.
* Work with technology leadership team and assist with scheduled changes, maintenances and unplanned incidents
* Coordinates and supports disaster recovery procedures and assists in the development of disaster recovery plans
* Reviews historical data for trend analysis
* Departmental Requirements
	+ Available for all critical outages by driving the team to service restoration

**Qualifications:**

* **Education:** Bachelor's degree in Computer Science, Information Technology, or a related field. A Master's degree is preferred.
* **Experience:** 15\+ years of experience inor a similar role, with at least 5 years of experience managing offshore technical teams.
* **Technical Skills:** Strong understanding of software development, IT infrastructure, and project delivery methodologies.
* **Leadership Skills:** Proven ability to lead and inspire technical teams, with excellent interpersonal and communication skills.
* **Problem\-Solving:** Strong analytical and problem\-solving abilities, with a proactive approach to addressing challenges.
* **Cultural Awareness:** Ability to work effectively in a multicultural environment and manage teams across different time zones.

**Preferred Qualifications:**

* Experience working in a global organization with distributed teams.
* Certification in (Insert function here)
* Knowledge and Certifications in ITIL, Agile and DevOps practices.
* **Knowledge:**
* Working knowledge on managing Cloud operational support services (AWS and/ or GCP and/ or Azure and/ or SaaS)
* Working knowledge of service monitoring tools such as: SolarWinds Orion, Microsoft System Center Operations Manager, and Nagios
* Working knowledge of RedHat Linux, Windows, VMWare, EMC \& NetApp Storage, Backups, and Cisco Networking devices
* Working knowledge of ServiceNow and Alert Integrations
* Working knowledge of Data Center Co\-Location Services with heavy emphasis on monitoring
* Working knowledge of Change and Production Control Frameworks as set forth in the ITILv.3 library
* **Skills:**
* Ability to build, influence, lead and motivate effective teams towards end results
* Ability to work effectively with all levels of staff, clients and other IT personnel
* Ability to negotiate with customers to reach agreement on common goals and service levels
* Ability to conduct thorough root cause analysis to resolve issues
* Ability to create and present I\&O information to executive management

  

Don’t meet every single requirement? At Mattel, we are dedicated to an inclusive workplace and a culture of belonging. If you’re excited about this role but your past experience doesn’t align perfectly with every qualification in the job description, we still encourage you to apply. You may be just the right candidate for this or other roles.  

  

**How We Work:**  

We are a purpose driven company aiming to empower generations to explore the wonder of childhood and reach their full potential. We live up to our purpose employing the following behaviors:

* **We collaborate:** Being a part of Mattel means being part of one team with shared values and common goals. Every person counts and working closely together always brings better results. Partnership is our process and our collective capabilities is our superpower.
* **We innovate:** At Mattel we always aim to find new and better ways to create innovative products and experiences. No matter where you work in the organization, you can always make a difference and have real impact. We welcome new ideas and value new initiatives that challenge conventional thinking.
* **We execute:** We are a performance\-driven company. We strive for excellence and are focused on pursuing best\-in\-class outcomes. We believe in accountability and ownership and know that our people are at their best when they are empowered to create and deliver results.

**Our Approach to Flexible Work:**  

We embrace a flexible work model designed to empower a culture of growth, optimism, and wellbeing, where every employee can reach their full potential. Combining purposeful in\-person collaboration with flexibility, our focus is to optimize performance and drive connection for moments that matter.

**Who We Are:**  

Mattel is a leading global toy and family entertainment company and owner of one of the most iconic brand portfolios in the world. We engage consumers and fans through our franchise brands, including Barbie, Hot Wheels, Fisher\-Price, American Girl, Thomas \& Friends, UNO, Masters of the Universe, Matchbox, Monster High, MEGA and Polly Pocket, as well as other popular properties that we own or license in partnership with global entertainment companies. Our offerings include toys, content, consumer products, digital and live experiences. Our products are sold in collaboration with the world’s leading retail and ecommerce companies. Since its founding in 1945, Mattel is proud to be a trusted partner in empowering generations to explore the wonder of childhood and reach their full potential.


Mattel’s award\-winning workplace culture has been recognized by Forbes, Fast Company, Newsweek, Great Place to Work, TIME, and more.


Visit us at https://jobs.mattel.com/ and www.instagram.com/MattelCareers.  

  

Mattel is an Equal Opportunity Employer where we want you to bring your authentic self to work every day. We welcome all job seekers, and all applicants will receive consideration for employment.


Videos to watch:  

The Culture at Mattel  

Corporate Philanthropy",Consumer Goods And Services,"https://in.indeed.com/cmp/Mattel,-Inc.",https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/a8c90c76d417e77d9840369861d08e7a,https://about.mattel.com/,"333 Continental Blvd.
El Segundo CA, United States 90245","5,001 to 10,000",$1B to $5B (USD),"We create innovative products and experiences that inspire, entertain and develop children through play.",,,,,,
in-26f06d0585a30979,indeed,https://in.indeed.com/viewjob?jk=26f06d0585a30979,http://in.indeed.com/job/senior-engineer-network-administration-26f06d0585a30979,Senior Engineer (Network Administration),CORETECH INFOSYSTEMS,"KL, IN",2026-01-26,fulltime,,,,,,False,,,,,"**Job Description – Sr. Engineer/ Sr. Executive (Network Administration)**

**Role Summary**

We are seeking a technically proficient and proactive Senior Engineer / Senior Executive (Network Administration) to oversee the administration, optimization, and security of Windows and Linux server environments. This role combines hands\-on infrastructure and network management with team leadership to ensure reliable, secure, and efficient IT operations aligned with organizational objectives.

The ideal candidate will lead system administrators and support engineers, manage client\-facing technical support as well as internal infrastructure, enforce security best practices, and drive continuous improvement across IT services.

**Key Responsibilities**

i. Leadership and Team management

· Lead multiple teams of system administrators and support engineers to ensure high performance, accountability and continuous improvement.

· Identify and address discrepancies between actual performance and expected outcomes, offering constructive guidance to support improvement and ensure seamless workflow.

· Establish a culture of teamwork, innovation and professional growth within and across the teams.

ii. Strategic Planning \& Execution

· Develop and implement short\-term and long\-term strategies for network infrastructure, software solutions and quality assurance.

· Develop and maintain comprehensive documentation of technical procedures, troubleshooting guidelines, system configurations and run books.

· Prioritize projects, allocate resources effectively and manage multiple projects simultaneously.

iii. Network Oversight \& IT Facility Management

· Oversee the design, implementation and maintenance of network architecture.

· Ensure reliable IT facility operations including servers, networking equipment, and workplace technology infrastructure.

· Evaluate and recommend new networking technologies, tools and processes to enhance efficiency and scalability.

· Manage vendor relationships, licensing, renewals, and third\-party services.

· Assist in IT budgeting, cost optimization, and procurement planning.

· Oversee the management, tracking, and lifecycle control of IT assets, including procurement, deployment, maintenance, and disposal.

iv. Software \& Client Support Operations

· Deliver prompt and effective technical support to clients, diagnosing and resolving website and web application issues to ensure optimal performance and user satisfaction.

· Diagnose and resolve technical issues related to site performance, plugins, themes and user interface problems.

· Coordinate with development and QA teams to resolve escalated production issues.

v. Quality assurance \& Testing Oversight

· Establish and maintain robust QA and testing processes to ensure software quality, reliability and compliance with standards.

· Conduct functional, performance, and compatibility testing on WordPress sites prior to deployments or updates.

· Monitor defect trends, perform root cause analysis and implement preventive measures to minimize errors.

vi. Technical Governance \& Risk Management

· Ensure adherence to IT policies, security protocols and compliance standards across all teams.

· Identify, assess, and mitigate technical risks related to networks, servers, and application environments.

· Conduct periodic audits of infrastructure, processes, and service quality.

vii. Stakeholder Communication \& Reporting

· Serve as the primary technical point of contact for senior management.

· Facilitate informed decision\-making by translating technical insights into actionable business recommendations.

· Report on infrastructure health, incident trends, team performance, and key IT metrics.

viii. Innovation and Continuous Improvement

· Research and assess emerging technologies, tools, and frameworks relevant to network and infrastructure management.

· Drive automation, process optimization, and standardization initiatives.

· Encourage documentation, knowledge sharing, training, and continuous upskilling within teams.

ix. Cybersecurity \& Compliance

· Experience with firewalls, VPNs, IDS/IPS, and network security tools.

· Understanding of cybersecurity frameworks, vulnerability management, and incident response.

· Familiarity with data protection, backup, disaster recovery (DR), and business continuity planning.

· Exposure to compliance standards such as **ISO 27001**, **SOC**, or internal IT audits etc.

**Required Skills and Qualifications**

· BTech / MTech / MCA or equivalent degree in IT, Computer Science, or related fields.

· Minimum 3\+ years of experience in network administration, system administration, or IT infrastructure roles, including team leadership exposure.

· Strong understanding of networking protocols, system architecture, Software Development Life Cycle (SDLC) and testing processes. Hands\-on experience with Windows and Linux server environments.

· Experience with Apache, Nginx, PHP, and open\-source platforms including WordPress.

· Working knowledge of MySQL or similar databases with SQL troubleshooting capability.

· Experience using project management and ticketing tools.

· Strong analytical, troubleshooting, and decision\-making skills.

· Excellent communication skills with the ability to explain technical concepts to non\-technical stakeholders.

· Certifications in Windows, Linux, Networking, or Cybersecurity are an added advantage.

Job Types: Full\-time, Permanent

Benefits:

* Health insurance
* Provident Fund

Work Location: In person",,https://in.indeed.com/cmp/Coretech-Infosystems-1,,,,,,,,,,,,
in-35d8d2cc8051b259,indeed,https://in.indeed.com/viewjob?jk=35d8d2cc8051b259,https://jobs.commscope.com/job/Bangalore-Technical-Consulting-Manager-Othe/1320755400/?feedId=221800&utm_source=Indeed&utm_campaign=Commscope_Indeed,Technical Consulting Manager,CommScope,"KA, IN",2026-01-24,,,,,,,False,,,,,"In our 'always on' world, we believe it's essential to have a genuine connection with the work you do.
Due to growth and customer demand, we are looking to add a Sr. Technical Marketing Manager to our RUCKUS Networks’ Technical Marketing team. The ideal candidate will be based in Bangalore.**How You'll Help Us Connect the World:**
As a hands\-on Senior Technical Marketing Manager, you will be lead and\\or participate in:* **Strategic Planning:** Develop comprehensive technical marketing strategies and plans to align with our strategic objectives.
* **Technical Content Development:** Create compelling technical content including but not limited to reference architectures, best practice guides, feature notes, technical briefs, presentations, training decks and demo videos that effectively showcase the features, benefits, and competitive advantages of our products and solutions.
* **Competitive Analysis:** Conduct feature, product, and solution\-level in\-depth competitive analysis to identify and demonstrate our differentiators from our competitors.
* **Pre\-Sales/SE Enablement:** Collaborate with the SE team to develop SE enablement tools and resources such as technical training materials, competitive battle cards, solution guides, and customer\-facing technical presentations to support the sales engineering process and drive revenue growth.
* **SME:** Act as a subject matter expert on campus networking technologies, providing guidance and support to SE teams and customers during pre\-sales and post\-sales activities.
* **Technical Evangelism:** Represent the company as a subject matter expert at industry events, conferences, webinars, and customer meetings. Deliver technical presentations and demonstrations to showcase the capabilities and value proposition of our networking solutions. Author technical blogs, participate in technical podcasts, and more.
* **Product Launch Support:** Lead the technical marketing aspects of product launches including developing launch plans, creating launch collateral, coordinating launch activities, and ensuring successful execution.
* **Customer Engagement:** Engage with customers to understand their networking challenges, gather feedback on our products, and communicate customer success stories and case studies.
* **Cross\-Functional Collaboration:** Work closely with product management, engineering, sales, and marketing teams to align technical marketing initiatives with overall business objectives and ensure consistency in messaging and positioning. Support or conduct POC tests (Proof of Concept) for RUCKUS products and write reports. Support the field teams and partners in responding with formal responses to documents such as RFI/RFQ/RFP.
* **Management of local team:** This position will be the lead and mentor for the local TME team in our Bangalore office. As the lead and mentor, you will ensure that projects and tasks are being delivered on time and TME resources are actively engaged in that pursuit. As a mentor you will be asked to participate and guide the development and maturation of the team and its members. You will also report to the TME Director and will support initiatives laid out in project plans.

  

The Senior Technical Marketing Manager would typically have a very strong background in networking and a deep understanding of the various products of the company and solutions as well as competing products in the networking marketplace. They would also have excellent communication and presentation skills and the ability to work optimally with both technical and non\-technical stakeholders. This role requires a strong technical background and ability to articulate complex technical concepts to all the audiences. **Expert level technical knowledge and experience of Wired (Switching) and Wi\-Fi Enterprise Networks is a must.** **Required Qualifications for Consideration:*** Minimum 7\+ years relevant work experience as a technical marketing manager
* Minimum of BS EE/CS/CE
* Strong networking background in Wireless/RF, Switching/Routing, Secure Access protocols (802\.11a/b/g/n/ac/ax/be, 802\.1x, VLANs, STP, OSPF, RIP, BGP, Multicast, MPLS, etc)
* Expert level experience on:
* + Campus networking technologies
	+ Wi\-Fi and RF
	+ Switching
	+ NGFW\\UTM firewalls \& SD\-WAN gateway solutions
	+ Cloud networking
	+ Network Analytics
	+ Network security as it relates to campus networking.
	+ Network Access Control (NAC)
	+ Network design
	+ Automation tools
	+ IoT
* Working knowledge of
* + AI/ML
	+ AIOps
* Experience with scripting languages (Python, Ansible, Bash, etc.)
* Experience utilizing test tools such as Wireshark, Chariot, and similar networking test tools.
* Experience with AI \& other LLM tools for production work
* Desire and ability to write detailed technical documents.
* Desire and ability to create technical presentations.
* Desire and ability to create and produce videos for presentations and training guides
* Willingness to travel across the globe – up to 10% of the time
* Must have solid understanding of sales cycle.
* Configuration of complex WAN, LAN, and WLAN environments.
* Ability to arm sales engineers and partners with accurate and detailed competitive information
* Strong communication and listening skills, this resource will talk to CXO level customers and involves in events, meetings, and seminars with the end customers.

**You Will Excite Us If You Have:*** Network industry related certifications like CWNA, CCNP, etc.
* Other OEM Certifications also would make valuable contributions
* Familiarity and knowledge of ZTNA, SASE and SSE solutions

***Important Candidate Notice****: On January 9, 2026, CommScope finalized the sale of its Connectivity and Cable Solutions segment, which included the CommScope name and brand, to Amphenol Corporation. The remaining businesses — Access Networks Solutions**(now rebranded as* ***Aurora Networks****) and* ***RUCKUS Networks*** *have been unified under the new parent company, renamed as* ***Vistance Networks****. The role being advertised is part of RUCKUS Networks.*

**Why Join Us?**

Vistance Networks shapes the future of communications technology, pushing past what is possible. We deliver solutions that bring reliability and performance to a world always in motion. Our global team of innovators and employees are trusted advisors who listen to customers first, then deliver value.

  

RUCKUS Networks delivers purpose\-driven enterprise networks that enable superior business outcomes in demanding environments. Our solutions combine AI\-powered automation, proactive network assurance, and context\-aware security, providing exceptional performance with simplified management.

  

If you want to grow your career alongside bright, passionate, and caring people who strive to create what's next…..come connect to your future at Vistance Networks.

  

Vistance Networks is an Equal Opportunity Employer (EEO), including people with disabilities and veterans.",Telecommunications,https://in.indeed.com/cmp/Commscope,https://d2q79iu7y748jz.cloudfront.net/s/_squarelogo/256x256/e36a51fed07ccc68003f91bb5c3c2175,https://careers.commscope.com/,"Hickory, NC","10,000+",$1B to $5B (USD),"We are pushing the boundaries of communications technology. We are leaders in innovating 5G, private networks & Gigabit speeds everywhere – we're always anticipating what’s next. Join us!",,,,,,
